Uid,Sid,Key,Time,Value,UpdateTime
8283944169,764345307,stress,1749420420,"{""time"":1749420420,""stress"":16}",1749494665
8283944169,764345307,stress,1749420120,"{""time"":1749420120,""stress"":11}",1749494665
8283944169,764345307,stress,1749419820,"{""time"":1749419820,""stress"":15}",1749448112
8283944169,764345307,spo2,1749419820,"{""time"":1749419820,""spo2"":98}",1749448112
8283944169,764345307,heart_rate,1749419820,"{""time"":1749419820,""bpm"":59}",1749448111
8283944169,764345307,stress,1749419520,"{""time"":1749419520,""stress"":9}",1749448112
8283944169,764345307,stress,1749419220,"{""time"":1749419220,""stress"":11}",1749448112
8283944169,764345307,spo2,1749419220,"{""time"":1749419220,""spo2"":98}",1749448112
8283944169,764345307,heart_rate,1749419220,"{""time"":1749419220,""bpm"":61}",1749448111
8283944169,764345307,stress,1749418920,"{""time"":1749418920,""stress"":16}",1749448112
8283944169,764345307,heart_rate,1749418620,"{""time"":1749418620,""bpm"":65}",1749448111
8283944169,764345307,stress,1749418620,"{""time"":1749418620,""stress"":17}",1749448112
8283944169,764345307,spo2,1749418620,"{""time"":1749418620,""spo2"":98}",1749448112
8283944169,764345307,stress,1749418320,"{""time"":1749418320,""stress"":17}",1749448112
8283944169,764345307,spo2,1749418020,"{""time"":1749418020,""spo2"":98}",1749448112
8283944169,764345307,stress,1749418020,"{""time"":1749418020,""stress"":17}",1749448112
8283944169,764345307,heart_rate,1749418020,"{""time"":1749418020,""bpm"":55}",1749448111
8283944169,764345307,spo2,1749417420,"{""time"":1749417420,""spo2"":98}",1749448112
8283944169,764345307,heart_rate,1749417420,"{""time"":1749417420,""bpm"":55}",1749448111
8283944169,764345307,stress,1749417420,"{""time"":1749417420,""stress"":15}",1749448112
8283944169,764345307,stress,1749417120,"{""time"":1749417120,""stress"":16}",1749448112
8283944169,764345307,heart_rate,1749416820,"{""time"":1749416820,""bpm"":56}",1749448111
8283944169,764345307,spo2,1749416820,"{""time"":1749416820,""spo2"":98}",1749448112
8283944169,764345307,stress,1749416820,"{""time"":1749416820,""stress"":18}",1749448112
8283944169,764345307,stress,1749416520,"{""time"":1749416520,""stress"":15}",1749448112
8283944169,764345307,spo2,1749416220,"{""time"":1749416220,""spo2"":97}",1749448112
8283944169,764345307,stress,1749416220,"{""time"":1749416220,""stress"":13}",1749448112
8283944169,764345307,heart_rate,1749416220,"{""time"":1749416220,""bpm"":54}",1749448111
8283944169,764345307,stress,1749415920,"{""time"":1749415920,""stress"":15}",1749448112
8283944169,764345307,stress,1749415560,"{""time"":1749415560,""stress"":38}",1749448112
8283944169,764345307,heart_rate,1749415560,"{""time"":1749415560,""bpm"":56}",1749448111
8283944169,764345307,spo2,1749415560,"{""time"":1749415560,""spo2"":98}",1749448112
8283944169,764345307,stress,1749415320,"{""time"":1749415320,""stress"":28}",1749448112
8283944169,764345307,heart_rate,1749415020,"{""time"":1749415020,""bpm"":64}",1749448111
8283944169,764345307,spo2,1749415020,"{""time"":1749415020,""spo2"":96}",1749448112
8283944169,764345307,stress,1749415020,"{""time"":1749415020,""stress"":37}",1749448112
8283944169,764345307,stress,1749414720,"{""time"":1749414720,""stress"":36}",1749448112
8283944169,764345307,calories,1749414480,"{""time"":1749414480,""calories"":1}",1749448111
8283944169,764345307,heart_rate,1749414360,"{""time"":1749414360,""bpm"":93}",1749448111
8283944169,764345307,heart_rate,1749363720,"{""time"":1749363720,""bpm"":86}",1749448111
8283944169,764345307,calories,1749363720,"{""time"":1749363720,""calories"":1}",1749448111
8283944169,764345307,calories,1749363660,"{""time"":1749363660,""calories"":1}",1749448111
8283944169,764345307,stress,1749363480,"{""time"":1749363480,""stress"":34}",1749448112
8283944169,764345307,stress,1749363180,"{""time"":1749363180,""stress"":37}",1749448112
8283944169,764345307,heart_rate,1749363120,"{""time"":1749363120,""bpm"":60}",1749448111
8283944169,764345307,spo2,1749363120,"{""time"":1749363120,""spo2"":94}",1749448112
8283944169,764345307,stress,1749362880,"{""time"":1749362880,""stress"":36}",1749448112
8283944169,764345307,stress,1749362580,"{""time"":1749362580,""stress"":35}",1749448112
8283944169,764345307,heart_rate,1749362520,"{""time"":1749362520,""bpm"":72}",1749448111
8283944169,764345307,stress,1749362280,"{""time"":1749362280,""stress"":35}",1749448112
8283944169,764345307,heart_rate,1749361920,"{""time"":1749361920,""bpm"":101}",1749448111
8283944169,764345307,heart_rate,1749361320,"{""time"":1749361320,""bpm"":92}",1749448111
8283944169,764345307,stress,1749361080,"{""time"":1749361080,""stress"":16}",1749448112
8283944169,764345307,sleep,1749360840,"{""avg_spo2"":97,""has_stage"":true,""min_hr"":48,""device_wake_up_time"":1749360840,""duration"":513,""sleep_awake_duration"":0,""sleep_light_duration"":293,""awake_count"":0,""avg_hr"":57,""timezone"":8,""items"":[{""end_time"":1749331020,""state"":3,""start_time"":1749330060},{""state"":2,""start_time"":1749331020,""end_time"":1749333060},{""end_time"":1749334440,""start_time"":1749333060,""state"":4},{""end_time"":1749335340,""state"":2,""start_time"":1749334440},{""start_time"":1749335340,""end_time"":1749336300,""state"":3},{""start_time"":1749336300,""state"":2,""end_time"":1749337020},{""end_time"":1749340740,""start_time"":1749337020,""state"":3},{""start_time"":1749340740,""state"":2,""end_time"":1749341760},{""state"":3,""end_time"":1749344460,""start_time"":1749341760},{""start_time"":1749344460,""state"":4,""end_time"":1749345480},{""start_time"":1749345480,""end_time"":1749348660,""state"":3},{""end_time"":1749349440,""start_time"":1749348660,""state"":2},{""start_time"":1749349440,""end_time"":1749351840,""state"":3},{""start_time"":1749351840,""end_time"":1749352140,""state"":2},{""start_time"":1749352140,""state"":3,""end_time"":1749353160},{""state"":2,""end_time"":1749354060,""start_time"":1749353160},{""start_time"":1749354060,""end_time"":1749354540,""state"":3},{""start_time"":1749354540,""end_time"":1749355800,""state"":4},{""start_time"":1749355800,""end_time"":1749356280,""state"":2},{""state"":3,""start_time"":1749356280,""end_time"":1749357420},{""start_time"":1749357420,""end_time"":1749358740,""state"":4},{""end_time"":1749359100,""start_time"":1749358740,""state"":2},{""state"":4,""start_time"":1749359100,""end_time"":1749359340},{""state"":2,""start_time"":1749359340,""end_time"":1749359820},{""start_time"":1749359820,""end_time"":1749360840,""state"":3}],""has_rem"":true,""device_bedtime"":1749330060,""wake_up_time"":1749360840,""max_spo2"":99,""breath_quality"":99,""version"":2,""sleep_rem_duration"":87,""min_spo2"":94,""bedtime"":1749330060,""sleep_deep_duration"":133,""max_hr"":88}",1749448112
8283944169,764345307,stress,1749360780,"{""time"":1749360780,""stress"":16}",1749448112
8283944169,764345307,heart_rate,1749360720,"{""time"":1749360720,""bpm"":63}",1749448111
8283944169,764345307,stress,1749360480,"{""time"":1749360480,""stress"":13}",1749448112
8283944169,764345307,stress,1749360180,"{""time"":1749360180,""stress"":15}",1749448112
8283944169,764345307,heart_rate,1749360120,"{""time"":1749360120,""bpm"":57}",1749448111
8283944169,764345307,stress,1749359880,"{""time"":1749359880,""stress"":15}",1749448112
8283944169,764345307,stress,1749359580,"{""time"":1749359580,""stress"":16}",1749448112
8283944169,764345307,spo2,1749359520,"{""time"":1749359520,""spo2"":97}",1749448112
8283944169,764345307,heart_rate,1749359520,"{""time"":1749359520,""bpm"":60}",1749448111
8283944169,764345307,stress,1749359280,"{""time"":1749359280,""stress"":16}",1749448112
8283944169,764345307,stress,1749358980,"{""time"":1749358980,""stress"":16}",1749448112
8283944169,764345307,heart_rate,1749358920,"{""time"":1749358920,""bpm"":61}",1749448111
8283944169,764345307,spo2,1749358920,"{""time"":1749358920,""spo2"":98}",1749448112
8283944169,764345307,stress,1749358680,"{""time"":1749358680,""stress"":15}",1749448112
8283944169,764345307,stress,1749358380,"{""time"":1749358380,""stress"":16}",1749448112
8283944169,764345307,spo2,1749358320,"{""time"":1749358320,""spo2"":97}",1749448112
8283944169,764345307,heart_rate,1749358320,"{""time"":1749358320,""bpm"":58}",1749448111
8283944169,764345307,stress,1749358080,"{""time"":1749358080,""stress"":12}",1749448112
8283944169,764345307,stress,1749357780,"{""time"":1749357780,""stress"":18}",1749448112
8283944169,764345307,heart_rate,1749357720,"{""time"":1749357720,""bpm"":55}",1749448111
8283944169,764345307,spo2,1749357720,"{""time"":1749357720,""spo2"":96}",1749448112
8283944169,764345307,stress,1749357480,"{""time"":1749357480,""stress"":16}",1749448112
8283944169,764345307,stress,1749357180,"{""time"":1749357180,""stress"":17}",1749448112
8283944169,764345307,spo2,1749357120,"{""time"":1749357120,""spo2"":98}",1749448112
8283944169,764345307,heart_rate,1749357120,"{""time"":1749357120,""bpm"":53}",1749448111
8283944169,764345307,stress,1749356880,"{""time"":1749356880,""stress"":19}",1749448112
8283944169,764345307,stress,1749356580,"{""time"":1749356580,""stress"":15}",1749448112
8283944169,764345307,spo2,1749356520,"{""time"":1749356520,""spo2"":98}",1749448112
8283944169,764345307,heart_rate,1749356520,"{""time"":1749356520,""bpm"":51}",1749448111
8283944169,764345307,stress,1749356280,"{""time"":1749356280,""stress"":12}",1749448112
